district,dem.house.2018,gop.house.2018,total.turnout.2018.house,pct_reported,precincts_reporting,precincts_total,uncontested,dem.turnout.2018.house,rep.turnout.2018.house,dem.house.margin.2018,dem.house.2016,gop.house.2016,dem.house.margin.2016,dem.house.2012,gop.house.2012,dem.house.margin.2012,dem.house.2014,gop.house.2014,dem.house.margin.2014,total.turnout.2016.house,dem.turnout.2016.house,rep.turnout.2016.house,total.turnout.2014.house,dem.turnout.2014.house,rep.turnout.2014.house,dem.turnout.2012.house,rep.turnout.2012.house,total.turnout.2012.house,obama.2008,mccain.2008,obama.margin.2008,obama.2012,romney.2012,obama.margin.2012,clinton.2016,trump.2016,clinton.margin.2016,total.pres.turnout.2016,clinton.turnout.2016,trump.turnout.2016,obama_trump,romney_clinton,too_early,stcode,abbcode,anycong,nocong,evanprot,catholic,mainprot,other,congsession,yrelected,stateabbr,cdnum,educ.coll,educ.hs,educ.no_hs,educ.some_coll,asian,black,race.oth,white,cd_num,fips_cd113,prohibit_taxpayer_abortion,cut_defense_spending,gun_control_background_checks,race_problems_isolated,attitudes_deport_immig,obamacare_repeal,white_people_advantage,abortion_always_legal,min_wage_12,full_name,prob_rep_win,proj_dem_2party,prob_dem_win,proj_rep_2party,econ.proj.dem.margin.2018,density_type,high_minus_low_density,High.density,Medium.density,Low.density,Very.low.density,density_type.slim,swing_obama_clinton,swing_house_dems,race_called,uncontested_2016,uncontested_2012,region,D.Polling.Margin
AR-03,0.326491497,0.647812413,229568,0.97,485,500,0,74952,148717,-0.321320916,0,0.773,-0.773,0,1,-1,0,0.794,-0.794,280907,0,217192,190935,0,151630,0,186467,186467,0.34,0.64,-0.3,0.32,0.66,-0.34,0.31,0.62,-0.31,292163,89081,180921,0,0,0,5,AR03,54.69743,45.30257,37.071194,7.8954535,7.4283848,2.3023977,116,2018,AR,3,23.48313278,32.06675915,16.63343764,27.81667043,2.338481922,2.643778925,11.87465662,83.14308253,20,503,0.634502223,0.36893955,0.905591275,0.292209517,0.621961441,0.73355584,0.30381042,0.315695972,0.584037781,Arkansas 3rd,0.9999,0.328434859,1E-04,0.671565141,-0.343130282,Rural-suburban mix,-0.361864208,0,0.204562682,0.433573111,0.361864208,Rural,0.03,0.021,1,-1,-1,South,-21.43576006
AR-04,0.312611151,0.668080283,204676,0.979915433,927,946,0,63984,136740,-0.355469132,0,0.749,-0.749,0.381,0.619,-0.238,0.426,0.538,-0.112,244159,0,182885,206131,87742,110789,95013,154149,249162,0.37,0.6,-0.23,0.36,0.62,-0.26,0.31,0.64,-0.33,270781,84842,173731,0,0,0,5,AR04,59.442657,40.557343,41.340908,2.6299975,6.8587132,8.613039,116,2018,AR,4,15.03548193,38.07198086,18.17872396,28.71381325,0.602228082,19.33252153,5.967545096,74.09770529,21,504,0.62932073,0.267126443,0.828195575,0.281910367,0.629553943,0.709526209,0.357320836,0.316759803,0.605197178,Arkansas 4th,0.9999,0.33512021,1E-04,0.66487979,-0.329759581,Pure rural,-0.690657483,0,0.046859509,0.262483008,0.690657483,Rural,-0.07,-0.637,1,-1,0,South,-29.43576006
AZ-01,0.538447659,0.461552341,266024,1,279,279,0,143240,122784,0.076895318,0.507,0.434,0.073,0.519,0.481,0.038,0.526,0.474,0.052,280710,142219,121745,185114,97391,87723,122774,113594,236368,0.48,0.51,-0.03,0.48,0.5,-0.03,0.47,0.48,-0.01,284973,132874,135928,0,0,0,4,AZ01,34.601238,65.398758,8.1266842,11.839628,2.0459721,12.588954,116,2018,AZ,1,22.87671692,26.52547582,15.52689518,35.07091208,1.451506306,2.300352481,33.96100677,62.28713444,9,401,0.589631491,0.257292139,0.796615255,0.246825768,0.43826764,0.635932428,0.503751256,0.458561679,0.509026461,Arizona 1st,0.116,0.537916408,0.884,0.462083592,0.075832816,Pure rural,-0.552900431,0,0.130278523,0.316821046,0.552900431,Rural,0.02,0.021,1,0,0,West,0.010311366
AZ-02,0.547464491,0.452535509,294083,0.98974359,193,195,0,161000,133083,0.094928983,0.43,0.57,-0.14,0.504,0.496,0.008,0.499,0.5,-0.001,315679,135873,179806,219351,109543,109704,147338,144884,292222,0.49,0.5,-0.01,0.48,0.5,-0.02,0.5,0.45,0.05,315839,156676,141196,0,1,0,4,AZ02,39.945137,60.054863,10.110761,20.690435,3.556427,5.5875139,116,2018,AZ,2,31.47699267,21.85838089,9.912891562,36.75173487,2.749224119,3.841784234,12.65070323,80.75828842,10,402,0.431696279,0.393099635,0.841973239,0.243535766,0.410215572,0.529229906,0.560277893,0.669724381,0.648250196,Arizona 2nd,0.0291,0.572554934,0.9709,0.427445066,0.145109869,Dense suburban,0.026022445,0.196893591,0.408930803,0.223304459,0.170871146,Suburban,0.07,-0.139,1,0,0,West,12.88660464
AZ-03,0.63865462,0.36134538,179518,0.994382022,177,178,0,114650,64868,0.277309239,0.881,0,0.881,0.611,0.389,0.222,0.557,0.442,0.115,169135,148973,0,104428,58192,46185,98468,62663,161131,0.58,0.41,0.18,0.61,0.37,0.25,0.62,0.33,0.3,208934,130466,67952,0,0,0,4,AZ03,39.116009,60.883991,10.78014,19.517649,2.9526215,5.8655987,116,2018,AZ,3,15.49609535,27.35427338,26.1292856,31.02034566,1.64574344,4.658605583,23.19946504,70.49618594,11,403,0.50476355,0.463843389,0.878039188,0.236658982,0.380240244,0.596045158,0.52123818,0.539102498,0.634490309,Arizona 3rd,1E-04,0.708687777,0.9999,0.291312223,0.417375555,Dense suburban,-0.058284362,0.11813944,0.447550938,0.257885821,0.176423801,Suburban,0.05,0.766,1,1,0,West,NA
AZ-04,0.305091414,0.681653943,277035,1,162,162,0,84521,188842,-0.376562528,0.285,0.715,-0.43,0.298,0.702,-0.404,0.258,0.7,-0.442,284783,81296,203487,175179,45179,122560,69154,162907,232061,0.34,0.64,-0.3,0.31,0.67,-0.36,0.28,0.68,-0.4,298483,82192,202043,0,0,0,4,AZ04,26.093784,73.906219,8.3313179,10.810029,1.9947188,4.9577188,116,2018,AZ,4,17.73241525,29.84076206,14.01547585,38.41134684,1.007781727,1.659003884,12.77013024,84.56308414,12,404,0.530097742,0.27101824,0.874537321,0.215901951,0.499264977,0.667395369,0.419425691,0.519528217,0.558046673,Arizona 4th,1,0.327013989,0,0.672986011,-0.345972022,Rural-suburban mix,-0.328529725,0.037732676,0.198631276,0.397373647,0.366262401,Rural,-0.04,0.012,1,0,0,West,-31.76653884
AZ-05,0.405754095,0.594245905,313064,1,128,128,0,127027,186037,-0.18849181,0.359,0.641,-0.282,0.328,0.672,-0.344,0.304,0.696,-0.392,320124,114940,205184,179463,54596,124867,89589,183470,273059,0.36,0.63,-0.26,0.35,0.64,-0.29,0.37,0.58,-0.21,332093,121280,191432,0,0,0,4,AZ05,39.073467,60.926533,14.001484,13.639902,2.7283683,8.7037125,116,2018,AZ,5,32.31075791,22.96118095,7.565831013,37.16223013,4.049120568,2.925626852,11.01845942,82.00679315,13,405,0.542798222,0.262031019,0.858595089,0.296616572,0.393017663,0.693699091,0.372284391,0.418445325,0.455794123,Arizona 5th,0.9964,0.378130704,0.0036,0.621869296,-0.243738592,Dense suburban,0.085102323,0.08872104,0.676681395,0.230978847,0.003618718,Suburban,0.08,0.11,1,0,0,West,NA
AZ-06,0.448069646,0.551930354,313699,1,157,157,0,140559,173140,-0.103860707,0.379,0.621,-0.242,0.352,0.648,-0.296,0.351,0.649,-0.297,324444,122866,201578,199776,70198,129578,97666,179706,277372,0.41,0.58,-0.17,0.39,0.6,-0.21,0.42,0.52,-0.1,338331,143571,177332,0,0,0,4,AZ06,39.073467,60.926533,14.001484,13.639902,2.7283683,8.7037125,116,2018,AZ,6,40.1334412,19.56052298,8.15449615,32.15153967,3.77006366,2.427090701,9.086865444,84.71598019,14,406,0.473936865,0.314092093,0.845755309,0.256601235,0.489004994,0.621981289,0.482309468,0.570454965,0.594017749,Arizona 6th,0.824,0.44971278,0.176,0.55028722,-0.10057444,Dense suburban,0.262023046,0.302157974,0.42978418,0.227922918,0.040134928,Suburban,0.11,0.055,1,0,0,West,-13.67774825
AZ-07,0.858018975,0,131750,1,107,107,1,113044,0,1,0.752,0.247,0.505,1,0,1,0.749,0,0.749,158811,119465,39286,72454,54235,0,104489,0,104489,0.65,0.34,0.31,0.72,0.27,0.45,0.72,0.23,0.49,164399,117958,37232,0,0,0,4,AZ07,39.073467,60.926533,14.001484,13.639902,2.7283683,8.7037125,116,2018,AZ,7,13.13938374,26.94879833,34.57017611,25.34164182,2.195400846,8.771158255,19.61361275,69.41982815,15,407,0.397211144,0.376678196,0.880807655,0.226151867,0.378835246,0.589709532,0.618329027,0.597743876,0.732145175,Arizona 7th,0,1,1,0,1,Urban-suburban mix,0.433910664,0.434670153,0.435115029,0.129455329,0.000759489,Urban,0.04,-0.244,1,0,1,West,NA
AZ-08,0.445358799,0.554641201,304404,1,143,143,0,135569,168835,-0.109282401,0,0.685,-0.685,0.356,0.644,-0.288,0,0.758,-0.758,298971,0,204942,169776,0,128710,95635,172809,268444,0.38,0.61,-0.22,0.37,0.62,-0.25,0.37,0.58,-0.21,327325,120992,190163,0,0,0,4,AZ08,39.073467,60.926533,14.001484,13.639902,2.7283683,8.7037125,116,2018,AZ,8,27.36333811,25.22923294,8.726539076,38.68088988,2.891462058,4.20677074,10.11655898,82.78520822,16,408,0.55759223,0.29858011,0.921537674,0.275966887,0.469273142,0.689701264,0.388278538,0.478383832,0.500430877,Arizona 8th,0.976,0.413044748,0.024,0.586955252,-0.173910504,Dense suburban,0.080394548,0.133259664,0.615663893,0.198211327,0.052865116,Suburban,0.04,0.073,1,-1,0,West,-5.141931042
AZ-09,0.61085571,0.38914429,261245,1,140,140,0,159583,101662,0.22171142,0.609,0.39,0.219,0.522,0.478,0.044,0.547,0.419,0.128,277507,169055,108350,162062,88609,67841,121881,111630,233511,0.51,0.47,0.04,0.51,0.47,0.05,0.55,0.38,0.16,283863,155158,109123,0,0,0,4,AZ09,39.073467,60.926533,14.001484,13.639902,2.7283683,8.7037125,116,2018,AZ,9,34.94017706,20.14275458,12.09726165,32.81980671,4.422517578,5.039581681,13.34377513,77.19412561,17,409,0.432193013,0.374708209,0.904875512,0.180294446,0.39576031,0.520552976,0.583388253,0.594434051,0.661087996,Arizona 9th,0.0089,0.635934849,0.9911,0.364065151,0.271869699,Urban-suburban mix,0.513620632,0.513713245,0.428893084,0.057301059,9.26125E-05,Urban,0.11,0.091,1,0,0,West,NA
CA-01,0.451134111,0.548865889,291594,1,647,647,0,131548,160046,-0.097731778,0.409,0.591,-0.182,0.426,0.574,-0.148,0.39,0.61,-0.221,314036,128588,185448,216372,84320,132052,125386,168827,294213,0.42,0.53,-0.11,0.4,0.57,-0.16,0.37,0.56,-0.2,313968,114727,176358,0,0,0,6,CA01,30.314535,69.685463,12.589266,10.980006,2.3426001,4.4026632,116,2018,CA,1,22.0124493,24.92310057,12.30910144,40.75534869,2.468729472,1.323718816,13.69701487,82.51053685,22,601,0.498940375,0.417134882,0.911704528,0.201270113,0.498036627,0.593130592,0.417689527,0.612677487,0.634361139,California 1st,0.9376,0.434857456,0.0624,0.565142544,-0.130285088,Rural-suburban mix,-0.399964186,0.031139947,0.170450159,0.367305761,0.431104133,Rural,-0.04,0.039,1,0,0,West,NA
CA-02,0.770079548,0.229920452,315657,1,873,873,0,243081,72576,0.540159097,0.769,0.231,0.538,0.712,0.288,0.424,0.75,0.25,0.5,330766,254194,76572,217524,163124,54400,226216,91310,317526,0.71,0.25,0.46,0.69,0.27,0.42,0.69,0.23,0.46,344971,238157,80545,0,0,0,6,CA02,34.213966,65.786034,5.197556,20.669256,3.0704503,5.2767038,116,2018,CA,2,38.0449205,19.38037092,10.33404327,32.24066532,3.626059523,1.749465262,16.03623863,78.58823659,23,602,0.304511517,0.467082139,0.935941657,0.1380804,0.282665775,0.373448148,0.723264572,0.74948128,0.815709699,California 2nd,1E-04,0.753394357,0.9999,0.246605643,0.506788714,Rural-suburban mix,-0.227236317,0.06249067,0.332725326,0.315057017,0.289726987,Rural,0.04,0.038,1,0,0,West,NA
CA-03,0.580729469,0.419270531,232251,1,470,470,0,134875,97376,0.161458939,0.594,0.406,0.188,0.542,0.458,0.084,0.527,0.473,0.054,256966,152513,104453,150260,79224,71036,126882,107086,233968,0.55,0.42,0.13,0.54,0.43,0.11,0.53,0.4,0.13,262086,138882,105860,0,0,0,6,CA03,35.924263,64.075737,9.9948578,18.604654,2.1863825,5.1383686,116,2018,CA,3,23.59584762,23.56952906,17.37253807,35.46208525,9.78642306,5.83744713,22.97010514,61.40602467,24,603,0.402412707,0.368368841,0.876602841,0.170082103,0.374749242,0.479571426,0.606056677,0.67212781,0.709129129,California 3rd,0.0051,0.607423652,0.9949,0.392576348,0.214847304,Rural-suburban mix,-0.017762006,0.23233286,0.258746879,0.258825396,0.250094866,Rural,0.02,0.134,1,0,0,West,NA
CA-04,0.458685352,0.541314648,340654,1,643,643,0,156253,184401,-0.082629295,0.373,0.627,-0.254,0.389,0.611,-0.222,0,1,-1,350978,130845,220133,211134,0,211134,125885,197803,323688,0.43,0.54,-0.11,0.4,0.58,-0.18,0.39,0.54,-0.15,353388,138790,190924,0,0,0,6,CA04,38.398659,61.601341,13.059046,18.922495,1.8307779,4.58634,116,2018,CA,4,30.41004385,22.58259931,7.510728305,39.49662854,4.032980352,1.167079632,11.63062336,83.16931666,25,604,0.417954044,0.382446666,0.876968955,0.220342029,0.529577635,0.517637712,0.448898433,0.659193308,0.649502204,California 4th,0.9364,0.444266201,0.0636,0.555733799,-0.111467597,Rural-suburban mix,-0.365848717,0.042209596,0.199964043,0.349768047,0.408058314,Rural,0.03,0.746,1,0,0,West,-3.832256283
CA-05,0.78868124,0,261018,1,664,664,1,205860,0,1,0.769,0.231,0.538,0.745,0.255,0.49,0.757,0,0.757,292091,224526,67565,171148,129613,0,202872,69545,272417,0.7,0.26,0.44,0.7,0.28,0.42,0.69,0.24,0.45,305052,210950,74088,0,0,0,6,CA05,38.981441,61.018559,7.8971519,23.63916,2.3549917,5.0901375,116,2018,CA,5,29.18924225,21.10965365,14.32235641,35.37874769,10.21223835,5.918660669,17.36238715,66.50671383,26,605,0.350426573,0.515088006,0.944738993,0.213794474,0.230046981,0.367408724,0.687815383,0.763328733,0.833864265,California 5th,0,1,1,0,1,Dense suburban,0.120641795,0.249733003,0.385459595,0.235716195,0.129091208,Suburban,0.03,-0.219,1,0,0,West,NA
CA-06,1,0,201939,1,264,264,1,201939,0,1,0.754,0.246,0.508,0.751,0.249,0.502,0.727,0.273,0.454,235413,177565,57848,133456,97008,36448,160667,53406,214073,0.68,0.29,0.39,0.69,0.28,0.41,0.69,0.24,0.45,243910,168687,59549,0,0,0,6,CA06,37.021103,62.978897,10.766993,16.566309,2.3984501,7.2893515,116,2018,CA,6,25.94814233,22.07116399,18.1106746,33.87001908,14.69605816,11.97954595,22.90470441,50.41969149,27,606,0.351931427,0.496081932,0.927933538,0.201890211,0.290749975,0.450706574,0.736406384,0.737350078,0.818706801,California 6th,0,1,1,0,1,Urban-suburban mix,0.522600639,0.532707724,0.390008165,0.067177025,0.010107086,Urban,0.04,0.054,1,0,0,West,NA
CA-07,0.550449724,0.449550276,281617,1,292,292,0,155016,126601,0.100899449,0.512,0.488,0.024,0.517,0.483,0.034,0.504,0.496,0.008,297301,152133,145168,183587,92521,91066,141241,132050,273291,0.51,0.46,0.05,0.51,0.47,0.04,0.52,0.41,0.11,304118,159066,124249,0,0,0,6,CA07,37.072842,62.927158,11.109553,16.191637,2.3956363,7.3760147,116,2018,CA,7,30.63037367,20.79824715,10.61671734,37.95466184,13.02719949,7.157392388,17.79414722,62.02126091,28,607,0.473309971,0.37057423,0.927216453,0.202577285,0.348473612,0.518114193,0.538088169,0.597919404,0.637568795,California 7th,0.0311,0.580300365,0.9689,0.419699635,0.160600729,Dense suburban,0.25712296,0.307634153,0.550797636,0.091057017,0.050511194,Suburban,0.07,0.016,1,0,0,West,11.01702486
CA-08,0,1,170785,1,1298,1298,-1,0,170785,0,0.377,0.623,-0.246,0,1,-1,0.324,0.677,-0.353,220007,83035,136972,114536,37056,77480,0,179644,179644,0.42,0.55,-0.13,0.42,0.56,-0.14,0.4,0.55,-0.15,232835,92234,127464,0,0,0,6,CA08,41.199814,58.800186,11.676585,23.378384,1.3494183,4.7954268,116,2018,CA,8,15.96454066,29.01601037,17.94600833,37.07344064,2.906756271,7.956561176,18.79682015,70.3398624,29,608,0.44005446,0.378158932,0.88836054,0.212695489,0.518028921,0.618792444,0.518689769,0.618125814,0.689472989,California 8th,1,0,0,1,-1,Rural-suburban mix,-0.247217064,0.020021219,0.234738237,0.47800226,0.267238283,Rural,-0.01,0.107,1,0,-1,West,NA
CA-09,0.56491485,0.43508515,200763,1,490,490,0,113414,87349,0.1298297,0.574,0.426,0.148,0.556,0.444,0.112,0.524,0.476,0.047,232155,133163,98992,121204,63475,57729,118373,94704,213077,0.56,0.41,0.15,0.58,0.4,0.18,0.57,0.38,0.19,238191,134719,90484,0,0,0,6,CA09,42.405014,57.594986,9.3973656,25.126949,2.1319299,5.7487693,116,2018,CA,9,18.78265729,25.10222139,21.72053276,34.39458855,12.8314935,8.368586158,23.02788014,55.7720402,30,609,0.439120489,0.346356199,0.899639916,0.209386174,0.344513944,0.460541423,0.652132932,0.641315408,0.701467048,California 9th,0.0111,0.599452267,0.9889,0.400547733,0.198904534,Dense suburban,0.131973236,0.222910751,0.449621722,0.236530012,0.090937515,Suburban,0.01,0.101,1,0,0,West,NA
